MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,sale_date,ocean_proximity
4.702413898135869,49.82463828768011,5.014787597092851,0.8206612827040194,455.54196848744544,2.260993486867999,37.16326871383703,-114.91348710448749,2.1586195756524216,2020-01-01 00:00:00,<1H OCEAN
3.408231901014331,32.85383013231994,4.8965703020970865,0.8710943045216486,125.43926635338956,2.1225662090041313,39.75912595443921,-122.46811903805677,1.5029619602302455,2020-01-01 01:00:00,INLAND
3.2363247099682337,36.438763025680345,3.8395557060310797,0.7830577519495814,1164.1622021296778,2.7750584159143976,40.051946776292155,-118.13059072169507,2.5983226918919016,2020-01-01 02:00:00,INLAND
3.236353637079017,21.224707921706084,7.383849384776943,0.13512464982941436,1197.7156112085815,2.590158319002429,37.26071503152624,-120.10146116038489,1.741816831923363,2020-01-01 03:00:00,INLAND
7.598110116324025,29.720184316547737,5.444554542542593,0.6460827326636093,746.2055062228143,3.993122447739947,32.6558215523747,-120.30020867938933,4.15516181918069,2020-01-01 04:00:00,<1H OCEAN
5.3412532638643535,28.73674319397885,9.590918183787025,0.42749260496961755,598.3608136835295,3.980678797967732,41.705860885042036,-121.32338316378573,3.9604786811410095,2020-01-01 05:00:00,INLAND
2.8391589819494323,39.739923608665144,3.6901836935142884,1.1805442839412392,412.7929383364934,2.008317884449579,33.587755763898336,-121.0272153698875,0.853976895085927,2020-01-01 06:00:00,<1H OCEAN
4.806803038773909,44.70249399803505,1.8808534904420087,1.2563772127831196,1453.1026302045514,3.459520999790129,33.68190981286861,-117.59895549327905,3.0317235173044983,2020-01-01 07:00:00,INLAND
4.149778384854999,34.807183158438086,6.659282573999722,0.4822425299238861,1155.7604268879645,3.747127364378786,40.338169898965724,-123.85684011779887,3.2321458609867086,2020-01-01 08:00:00,INLAND
1.0877598257923666,50.97024889812635,3.706306869665617,1.2964609448492115,433.7480372889427,2.884992643934757,38.265515376840526,-118.06143384994928,0.7856512070259379,2020-01-01 09:00:00,NEAR BAY
2.0490889260696514,43.24270801874948,3.5637648334358474,1.4077326182610383,238.99745664239228,2.3461401105688897,36.46911710125947,-118.77775364148313,1.8358111916760362,2020-01-01 10:00:00,INLAND
