True Value,Observed
12.198685661204493,
12.217287669218981,
13.330872184964766,
14.95235769307083,14.95235769307083
15.906338650110666,15.906338650110666
17.83579285640016,17.83579285640016
20.631685126202957,20.631685126202957
22.377526252481328,22.377526252481328
23.81221024562602,23.81221024562602
25.873878266926766,25.873878266926766
26.742836153150527,
27.541114708884443,27.541114708884443
28.096784908626415,28.096784908626415
26.962094512449426,26.962094512449426
26.2382360972703,26.2382360972703
25.431939237795994,25.431939237795994
23.594867551866233,23.594867551866233
22.196251293858275,22.196251293858275
19.636790369791516,19.636790369791516
17.36452615864572,17.36452615864572
16.58625950756862,16.58625950756862
14.252835230313005,14.252835230313005
13.098808051599663,13.098808051599663
11.702694115202071,11.702694115202071
11.782246910189928,11.782246910189928
12.3169624255714,
12.61139933875557,
14.493424957845887,
15.759744524032474,
17.812770139262522,17.812770139262522
19.75931735510823,19.75931735510823
22.81146363462374,22.81146363462374
23.99460111010482,23.99460111010482
25.233769877910024,25.233769877910024
27.257221195116784,27.257221195116784
27.239069150324138,27.239069150324138
28.083545438001902,28.083545438001902
26.94353856076064,26.94353856076064
26.39692881071614,26.39692881071614
25.735598743840036,25.735598743840036
24.295386631998163,24.295386631998163
22.13909967329617,22.13909967329617
19.953740687044707,19.953740687044707
17.809006160944122,17.809006160944122
15.408591203853035,15.408591203853035
14.055208067149733,14.055208067149733
12.887541261340582,12.887541261340582
12.69544228017502,12.69544228017502
12.137447315827384,12.137447315827384
11.567377327542356,11.567377327542356
13.201430357482412,
14.189112838341087,
15.729231199877617,
18.174118154716183,
20.412399808998376,
22.443064408466654,
23.664312990710936,
25.533169299151886,
27.060708602836936,27.060708602836936
28.11762466116149,28.11762466116149
27.808330304861883,27.808330304861883
27.653143019647022,27.653143019647022
26.485669240673104,26.485669240673104
25.178371599860107,25.178371599860107
24.325010328957692,24.325010328957692
22.6130483722485,22.6130483722485
19.971195951367857,19.971195951367857
18.33086079833665,18.33086079833665
16.14465441001906,16.14465441001906
14.08509784866557,
13.216355011927849,
12.887808016273835,
