Student_ID,Major,Exam_Score
1,Physics,73.4175597577716
2,Arts,88.76170839215887
3,CS,79.5042383818605
4,Physics,64.23096344337597
5,Physics,
6,Arts,
7,CS,
8,CS,88.31458765854353
9,Physics,
10,Math,65.30824347895295
11,Physics,
12,Physics,83.53872374165412
13,Physics,68.85460154747382
14,Physics,82.37816311973462
15,Arts,54.05572341205633
16,CS,64.00624977046228
17,Arts,70.05243699718183
18,Arts,
19,Arts,65.49934528520757
20,Physics,76.22849932347499
21,Math,59.32379570617405
22,CS,68.57620514978707
23,Math,71.20295631711899
24,Arts,
25,Arts,
26,Math,58.75357908162131
27,Math,
28,Math,82.7767682189851
29,Arts,73.32314011979592
30,Arts,62.51513463443446
31,CS,
32,CS,71.15674634292859
33,Arts,
34,Math,70.67518481410109
35,Math,90.60747924881987
36,CS,
37,Arts,67.51035851520926
38,CS,79.71570950954356
39,CS,76.45375949585147
40,Physics,83.68631557532349
41,Physics,60.35076539419896
42,Physics,
43,Math,80.58424486849587
44,Arts,52.41260513576886
45,Arts,58.16741487334225
46,Arts,49.607678222398995
47,Arts,67.30593165555442
48,Physics,
49,Math,85.02357052096028
50,Math,70.74094780419775
51,Physics,86.28615545571292
52,Math,
53,Physics,
54,Arts,
55,Physics,73.84065448939307
56,Arts,
57,Arts,49.325578999601234
58,CS,69.10879960487212
59,Physics,56.95530499495147
60,CS,76.69672548830039
61,Physics,73.66598246096848
62,Physics,60.60120213672645
63,CS,64.86133082663306
64,CS,59.40786478111048
65,Physics,69.37320902726829
66,Math,79.55142320501238
67,Arts,60.14273953664456
68,CS,75.04046515517844
69,Arts,
70,Math,62.07127167737656
71,Math,
72,Math,59.64757677580626
73,CS,64.46350694652818
74,Math,58.021221074111516
75,CS,89.6472513291639
76,Math,70.35263551971728
77,Arts,
78,Arts,72.13979910734221
79,Physics,68.8767195030917
80,Arts,
81,Physics,
82,Arts,77.57507710047305
83,CS,64.69498852389472
84,Arts,64.2418175935532
85,Physics,
86,Physics,46.980788352644154
87,Math,54.84808937801448
88,CS,83.66874267444524
89,Arts,86.44967713501283
90,Math,67.50963960443622
91,Arts,75.76556963055766
92,Arts,
93,Math,100.78880808455239
94,Math,
95,Math,
96,Math,
97,Math,53.93553679742428
98,Arts,72.03463635867223
99,Math,
100,CS,55.77746290402326
101,Physics,63.534271157574736
102,Math,59.18451996385605
103,Math,86.87141635072564
104,Arts,78.81639756949451
105,Math,69.92027358683383
106,Math,84.79944138890026
107,Math,
108,Arts,61.38715798671736
109,Math,85.23124077269657
110,Physics,75.38910043684659
111,Arts,59.62753845673544
112,Physics,68.09661321916391
113,Arts,61.24381746615243
114,Math,
115,Physics,79.26177547531641
116,Arts,
117,CS,56.01432426180859
118,Math,75.62969236690572
119,Arts,63.49357430878173
120,CS,65.12874616235304
121,Arts,64.07606075761132
122,CS,61.36009230320184
123,Math,
124,Physics,61.69049883588962
125,CS,72.70456825779839
126,Arts,
127,Math,67.6105195313359
128,CS,60.92436337958402
129,Arts,64.23228669431667
130,Arts,
131,Arts,75.00917187624381
132,CS,60.22444755201449
133,CS,
134,CS,77.5138712337179
135,Physics,
136,CS,75.43360192379934
137,CS,63.37376241054153
138,CS,75.70598668593159
139,Physics,62.367408434574834
140,CS,
141,Arts,53.72457562116837
142,CS,70.48084946661382
143,Arts,72.59722501721483
144,Arts,60.956833748955916
145,Arts,
146,Physics,53.3847993773104
147,Physics,69.33920201352683
148,Physics,57.889838002375434
149,CS,63.48163892197841
150,Arts,70.47398671316414
151,Physics,
152,Physics,
153,CS,80.0629280921444
154,Physics,64.23108130476851
155,CS,
156,Math,58.702931453423815
157,Physics,75.29804177915283
158,Math,84.41568620657901
159,CS,45.283554998727105
160,Arts,62.03104744529523
161,Physics,75.7707212718054
162,CS,67.96954613957007
163,Arts,73.71145873371309
164,Arts,63.960148132841795
165,Math,70.865897874729
166,CS,
167,Arts,81.67782061659807
168,Physics,72.54420843301213
169,Physics,73.37602662075201
170,Math,
171,Arts,
172,CS,65.6744181218038
173,Physics,73.94452142378297
174,Arts,65.79015519179737
175,Arts,72.89774856896413
176,Math,90.75400798645438
177,Physics,78.71124703431693
178,Physics,66.73976467832159
179,CS,82.01213922163944
180,Physics,65.91924626978448
181,CS,
182,Physics,59.91913689082596
183,Math,51.29208078974145
184,Physics,
185,CS,
186,CS,86.76437312275283
187,Math,
188,Physics,67.80899471191135
189,Physics,78.2940558118349
190,Math,47.88864690992115
191,Physics,72.35614558108566
192,Physics,77.70865193886966
193,CS,
194,Physics,81.43754043206928
195,Physics,
196,Math,65.84712086099199
197,Math,76.32781866106285
198,Arts,92.70692857804396
199,CS,71.81866255058495
200,Physics,72.48220586300336
201,Physics,65.40639100459757
202,Arts,61.50155630535208
203,Physics,78.30335816544246
204,CS,
205,Arts,70.71566237219392
206,CS,65.22342553234883
207,Arts,74.78979825746391
208,Arts,
209,Math,80.375399442579
210,CS,64.89983601145254
211,Physics,67.30125064706628
212,Physics,60.21236284217693
213,CS,65.55706739923889
214,Physics,73.77300493044852
215,Physics,77.56988616645351
216,CS,60.77834675822375
217,Arts,78.6960592010566
218,CS,83.55637858804951
219,Arts,74.13434903223701
220,Physics,88.76795812558066
221,Physics,62.26210800896427
222,Physics,57.55345296688583
223,Math,52.212797510957216
224,Arts,84.96044311489183
225,Math,76.54365656354058
226,Math,69.44415329089544
227,CS,72.7996862631982
228,Math,58.74510952701623
229,CS,94.45751979616827
230,CS,
231,Math,71.09394794604893
232,Arts,77.25766623898691
233,Arts,74.81009231736714
234,Arts,72.23884024279131
235,Arts,62.09525544554688
236,Arts,74.71468357135996
237,Math,88.82024496475034
238,Math,83.45420046154977
239,Physics,
240,Arts,64.88784323568815
241,Math,60.10395179741419
242,Physics,
243,Arts,70.55724912288694
244,CS,
245,Physics,53.07535370285181
246,Math,
247,CS,68.4199210142101
248,CS,65.7311893005258
249,CS,
250,Physics,53.451433281342304
251,Math,78.23170583961914
252,CS,70.73317967188405
253,Arts,
254,CS,57.04921227936384
255,CS,66.64215300709871
256,Physics,86.69021525289392
257,Physics,67.40408648636395
258,Math,54.96857046881894
259,Arts,67.54256935914056
260,Physics,67.2727643025233
261,CS,43.03113357058429
262,Math,69.45705133482188
263,CS,67.69065469791322
264,CS,76.96206364813418
265,Physics,88.48956094945345
266,Math,
267,Arts,67.3111130944517
268,Arts,58.934740912583294
269,Physics,95.7335980324986
270,Physics,70.59218434014488
271,Math,70.13929291912946
272,Arts,69.75874912889996
273,Arts,71.98084760767856
274,Arts,
275,CS,64.26337993119763
276,Arts,64.53141058759608
277,CS,69.67246729784002
278,Math,64.56575228866235
279,CS,62.871542173228356
280,Math,
281,Arts,67.45022782579144
282,Arts,85.0399298858269
283,Math,43.49030191606988
284,Physics,80.91506851922462
285,Math,
286,Physics,49.2660976759185
287,CS,
288,CS,66.28559134004209
289,CS,55.924883052821784
290,Arts,62.22183312409125
291,CS,58.894241545341714
292,Physics,87.52270443423623
293,CS,79.35678393147461
294,Math,82.71555094994159
295,Math,77.21672064043236
296,Arts,
297,Math,64.75479733720226
298,Physics,74.89374561227918
299,CS,
300,Arts,
301,CS,67.59674601841866
302,CS,66.25179192450402
